ruta_imagen1,ruta_imagen2,ruta_imagen3,theta_i,tstamp
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_24.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_24.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_24.png,"[0.0, -2.0943951023931957, -1.5707963267948966, -2.1156698073885436, -1.8698034729044897, 2.7549753537726795]",20:05:48
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_25.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_25.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_25.png,"[0.0, -2.0943951023931957, -1.308996938995747, -2.6378594052944053, -1.767271461908408, 0.4410464897712937]",20:05:50
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_26.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_26.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_26.png,"[0.0, -2.0943951023931957, 2.0, -0.7296489844686183, -1.9666187204877994, 1.479616748499433]",20:05:52
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_27.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_27.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_27.png,"[0.0, -2.0943951023931957, 2.0943951023931953, -3.044540849203116, -1.8847250179722908, 0.0545106644087542]",20:05:54
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_28.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_28.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_28.png,"[0.0, -2.0943951023931957, 1.832595714594046, -0.5406639801629192, -1.8670189985087424, 0.8439280969696411]",20:05:56
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_29.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_29.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_29.png,"[0.0, -2.0943951023931957, 1.5707963267948966, -0.03334677174188938, -2.092425139558287, 0.6955874144692573]",20:05:58
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_30.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_30.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_30.png,"[0.0, -2.0943951023931957, 1.308996938995747, 0.017814280977191288, -2.343100932857419, 1.3271150731864565]",20:06:00
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_31.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_31.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_31.png,"[0.0, -1.884955592153876, -2.0, -0.2610165005523788, -1.9363479321357038, 3.0825344718449736]",20:06:02
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_32.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_32.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_32.png,"[0.0, -1.884955592153876, -2.0943951023931953, -2.200813457728281, -1.8500229510819763, 0.8255570935915992]",20:06:04
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_33.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_33.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_33.png,"[0.0, -1.884955592153876, -1.832595714594046, -0.31065829316588545, -2.416528152739606, 3.105940768563917]",20:06:06
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_34.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_34.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_34.png,"[0.0, -1.884955592153876, -1.5707963267948966, -1.4566762782627283, -1.7984193822218173, 0.46504066169588026]",20:06:08
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_35.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_35.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_35.png,"[0.0, -1.884955592153876, -1.308996938995747, -0.972788712783287, -2.602976403176496, 0.4418459000794252]",20:06:10
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_36.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_36.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_36.png,"[0.0, -1.884955592153876, 2.0, -0.08205396384764407, -2.5428749657471212, 2.1936380564673468]",20:06:12
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_37.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_37.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_37.png,"[0.0, -1.884955592153876, 2.0943951023931953, -1.469460618036377, -2.477304188438229, 1.3439329857947704]",20:06:14
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_38.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_38.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_38.png,"[0.0, -1.884955592153876, 1.832595714594046, -3.1359539077567025, -2.256254735856321, 2.7689400516217155]",20:06:16
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_39.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_39.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_39.png,"[0.0, -1.884955592153876, 1.5707963267948966, -3.360432872600883, -2.382695414912224, 2.149738191395302]",20:06:18
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_40.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_40.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_40.png,"[0.0, -1.884955592153876, 1.308996938995747, -2.714901833661166, -2.1270509563324125, 0.9482204154670915]",20:06:20
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_41.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_41.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_41.png,"[0.0, -1.6755160819145565, -2.0, 0.061576293044871555, -2.164537923168081, 1.0727520670758133]",20:06:22
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_42.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_42.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_42.png,"[0.0, -1.6755160819145565, -2.0943951023931953, -1.288764328756189, -2.521549337893583, 0.1025249674835777]",20:06:24
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_43.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_43.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_43.png,"[0.0, -1.6755160819145565, -1.832595714594046, -0.021651701156393255, -1.8743782740178299, 1.316017891161982]",20:06:26
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_44.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_44.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_44.png,"[0.0, -1.6755160819145565, -1.5707963267948966, -0.3403678117032416, -2.572517779692951, 2.527899897495]",20:06:28
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_45.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_45.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_45.png,"[0.0, -1.6755160819145565, -1.308996938995747, -2.5810989358212497, -2.5018612688706057, 1.6606173837346752]",20:06:30
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_46.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_46.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_46.png,"[0.0, -1.6755160819145565, 2.0, 0.4085163136044052, -2.027820740404057, 2.162227989103999]",20:06:32
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_47.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_47.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_47.png,"[0.0, -1.6755160819145565, 2.0943951023931953, -2.6632662780479164, -2.059230096423536, 1.419201883564428]",20:06:34
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_48.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_48.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_48.png,"[0.0, -1.6755160819145565, 1.832595714594046, -2.7914206487202953, -2.1275432525099722, 1.0512570998829918]",20:06:36
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_49.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_49.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_49.png,"[0.0, -1.6755160819145565, 1.5707963267948966, 0.09713955822654441, -2.1636136137206847, 0.4397019800253699]",20:06:38
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_50.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_50.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_50.png,"[0.0, -1.6755160819145565, 1.308996938995747, -3.13911283877815, -1.790324046184523, 2.3681126279134914]",20:06:40
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_51.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_51.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_51.png,"[0.0, -1.4660765716752369, -2.0, -2.4243563596792193, -2.3226973287225254, 1.6800997370471369]",20:06:42
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_52.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_52.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_52.png,"[0.0, -1.4660765716752369, -2.0943951023931953, -0.3397374442706491, -1.9563255152005408, 0.36414297951313124]",20:06:44
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_53.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_53.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_53.png,"[0.0, -1.4660765716752369, -1.832595714594046, 0.670557149094622, -2.5181339183765887, 2.221901264718101]",20:06:46
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_54.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_54.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_54.png,"[0.0, -1.4660765716752369, -1.5707963267948966, -0.9786084703291915, -2.186786244889914, 0.34871654322179996]",20:06:48
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_55.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_55.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_55.png,"[0.0, -1.4660765716752369, -1.308996938995747, -3.469698606083744, -2.0824517164001017, 2.1729294494110474]",20:06:50
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_56.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_56.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_56.png,"[0.0, -1.4660765716752369, 2.0, 0.6033843187777035, -1.929840489340784, 2.7202998507707385]",20:06:52
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_57.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_57.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_57.png,"[0.0, -1.4660765716752369, 2.0943951023931953, 0.2774590705032227, -1.9110932649697188, 0.03787214269840446]",20:06:54
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_58.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_58.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_58.png,"[0.0, -1.4660765716752369, 1.832595714594046, -2.7606688534594275, -1.7828139306952844, 2.26767908523201]",20:06:56
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_59.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_59.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_59.png,"[0.0, -1.4660765716752369, 1.5707963267948966, -2.541664239626206, -1.8918356235928393, 0.35559895293461313]",20:06:58
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_60.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_60.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_60.png,"[0.0, -1.4660765716752369, 1.308996938995747, -0.5485549320800893, -1.7954910926974592, 1.8319824657654973]",20:07:00
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_61.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_61.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_61.png,"[0.0, -1.2566370614359172, -2.0, -2.165493598755329, -2.4382495328874216, 1.0839492419407908]",20:07:02
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_62.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_62.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_62.png,"[0.0, -1.2566370614359172, -2.0943951023931953, 0.6167805099029873, -2.365543546019291, 2.2674111239343273]",20:07:04
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_63.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_63.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_63.png,"[0.0, -1.2566370614359172, -1.832595714594046, -0.856134181446695, -2.2718887678985995, 0.9154344744106663]",20:07:06
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_64.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_64.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_64.png,"[0.0, -1.2566370614359172, -1.5707963267948966, -3.477303004687871, -2.5718031878771486, 1.73310378678822]",20:07:08
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_65.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_65.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_65.png,"[0.0, -1.2566370614359172, -1.308996938995747, 0.3467007369723025, -2.3401317281992595, 2.448991506514714]",20:07:10
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_66.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_66.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_66.png,"[0.0, -1.2566370614359172, 2.0, 0.15811967158108198, -2.072171541178389, 0.6292332286374629]",20:07:12
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_67.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_67.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_67.png,"[0.0, -1.2566370614359172, 2.0943951023931953, -2.221000712058197, -2.0036770874200727, 0.996823332674133]",20:07:14
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_68.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_68.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_68.png,"[0.0, -1.2566370614359172, 1.832595714594046, -0.3421825697630254, -2.38146798872382, 1.4341368043471603]",20:07:16
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_69.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_69.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_69.png,"[0.0, -1.2566370614359172, 1.5707963267948966, -2.22032649904364, -2.2335389469572844, 2.3834867447943933]",20:07:18
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_70.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_70.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_70.png,"[0.0, -1.2566370614359172, 1.308996938995747, -0.7664253444446039, -1.8567421785272995, 3.0796478779706526]",20:07:20
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_71.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_71.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_71.png,"[0.0, -1.0471975511965979, -2.0, -0.8335461477280091, -2.5647117941990962, 1.8810223050634587]",20:07:22
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_72.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_72.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_72.png,"[0.0, -1.0471975511965979, -2.0943951023931953, 0.2583375940656225, -2.5743703277139134, 0.9068525444403395]",20:07:24
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_73.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_73.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_73.png,"[0.0, -1.0471975511965979, -1.832595714594046, -0.0931581452755399, -1.849616194911508, 2.712456517250543]",20:07:26
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_74.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_74.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_74.png,"[0.0, -1.0471975511965979, -1.5707963267948966, -3.3222742597829256, -1.973171370727552, 2.193296238498647]",20:07:28
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_75.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_75.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_75.png,"[0.0, -1.0471975511965979, -1.308996938995747, -0.9065029130159252, -2.6102172191281796, 0.7490502820069105]",20:07:30
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_76.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_76.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_76.png,"[0.0, -1.0471975511965979, 2.0, -0.8316063709037835, -2.0894663411214434, 3.1157065522527057]",20:07:32
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_77.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_77.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_77.png,"[0.0, -1.0471975511965979, 2.0943951023931953, -2.445431587701054, -2.3554464595771076, 2.0963212389474237]",20:07:34
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_78.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_78.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_78.png,"[0.0, -1.0471975511965979, 1.832595714594046, 0.5654650095703508, -2.488738194559979, 1.65025328803994]",20:07:36
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_79.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_79.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_79.png,"[0.0, -1.0471975511965979, 1.5707963267948966, -1.1224822160996486, -1.9629075133823102, 0.043528186979646034]",20:07:38
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_80.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_80.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_80.png,"[0.0, -1.0471975511965979, 1.308996938995747, -2.5743950937489846, -1.8599720183387773, 2.565510621815017]",20:07:40
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_81.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_81.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_81.png,"[0.0, -0.8377580409572782, -2.0, 0.4857498600184309, -2.3920827635075974, 3.035960256228136]",20:07:42
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_82.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_82.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_82.png,"[0.0, -0.8377580409572782, -2.0943951023931953, -2.0649171866177936, -1.9141528699581705, 1.1171182762197673]",20:07:44
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_83.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_83.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_83.png,"[0.0, -0.8377580409572782, -1.832595714594046, -2.059144217657872, -1.7713715593599422, 0.3271924888808144]",20:07:46
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_84.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_84.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_84.png,"[0.0, -0.8377580409572782, -1.5707963267948966, -2.1774803385048918, -2.1600552118283534, 0.21639185118518212]",20:07:48
