ruta_imagen1,ruta_imagen2,ruta_imagen3,theta_i
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png","[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png","[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png","[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png","[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png","[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png","[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png","[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png","[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png","[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png","[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png","[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png","[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png","[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png","[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png","[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png","[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png","[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534]"
