ruta_imagen1,ruta_imagen2,ruta_imagen3,t1,t2,t3,t4,t5,t6
"capturas/raw/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/raw1/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/raw2/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png",0,-2.30383461263251,-2,70.5396290226421,111.992098747462,91.8852956981603
"capturas/raw/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/raw1/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/raw2/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png",0,-2.30383461263251,-2.0943951023932,176.17464890716,47.8326487644523,37.7538570333168
"capturas/raw/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png",0,-2.30383461263251,-1.83259571459405,172.491057113168,117.159912251069,120.363223696991
"capturas/raw/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png",0,-2.30383461263251,-1.5707963267949,17.4377013999049,150.663485714105,117.877518368825
"capturas/raw/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png",0,-2.30383461263251,-1.30899693899575,167.883779614954,120.701281167333,143.137860841957
"capturas/raw/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/raw1/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/raw2/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png",0,-2.30383461263251,2,56.7051547340181,9.14365523342133,133.612833888324
"capturas/raw/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/raw1/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/raw2/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png",0,-2.30383461263251,2.0943951023932,141.740716097786,6.65008770137724,14.5014989098875
"capturas/raw/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png",0,-2.30383461263251,1.83259571459405,64.8185584666929,23.6838189027158,101.559690416828
"capturas/raw/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png",0,-2.30383461263251,1.5707963267949,3.61720285483828,99.6317830433132,174.482447411618
"capturas/raw/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png",0,-2.30383461263251,1.30899693899575,78.6007090746776,47.1174205199601,171.860061416949
"capturas/raw/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/raw1/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/raw2/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png",0,-2.0943951023932,-2,17.3185481610903,158.687377777595,7.74215363749599
"capturas/raw/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/raw1/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/raw2/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png",0,-2.0943951023932,-2.0943951023932,170.684547287528,23.6866701072098,24.3267968377429
"capturas/raw/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png",0,-2.0943951023932,-1.83259571459405,3.63951991614426,11.5018081990489,3.83348532344362
"capturas/raw/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png",0,-2.0943951023932,-1.5707963267949,35.2362803532531,116.228286956958,13.8785368326078
"capturas/raw/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png",0,-2.0943951023932,-1.30899693899575,117.784948775223,96.2866691728719,126.562019262871
"capturas/raw/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/raw1/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/raw2/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png",0,-2.0943951023932,2,145.675668849063,147.738451441277,26.4506305169658
"capturas/raw/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/raw1/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/raw2/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png",0,-2.0943951023932,2.0943951023932,67.8966506615307,21.8496920857428,144.256243883191
"capturas/raw/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/raw1/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/raw2/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png",0,-2.0943951023932,1.83259571459405,5.73658464511251,164.31194215179,97.630082709519
"capturas/raw/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/raw1/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/raw2/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png",0,-2.0943951023932,1.5707963267949,58.0548110617432,75.4911563242353,68.9872921584935
"capturas/raw/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png","capturas/raw1/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png","capturas/raw2/img_[0.0, -2.0943951023931957, 1.308996938995747, 157.47359695053936, 84.40030091339537, 60.59691739034792].png",0,-2.0943951023932,1.30899693899575,157.473596950539,84.4003009133954,60.5969173903479
"capturas/raw/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png","capturas/raw1/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png","capturas/raw2/img_[0.0, -1.884955592153876, -2.0, 154.26609261414416, 131.92055465211678, 91.04672501512357].png",0,-1.88495559215388,-2,154.266092614144,131.920554652117,91.0467250151236
"capturas/raw/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png","capturas/raw1/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png","capturas/raw2/img_[0.0, -1.884955592153876, -2.0943951023931953, 141.90539484339726, 141.74144715825264, 5.828100301866883].png",0,-1.88495559215388,-2.0943951023932,141.905394843397,141.741447158253,5.82810030186688
"capturas/raw/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png","capturas/raw1/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png","capturas/raw2/img_[0.0, -1.884955592153876, -1.832595714594046, 96.374769599023, 144.93404137654028, 113.24829012925828].png",0,-1.88495559215388,-1.83259571459405,96.374769599023,144.93404137654,113.248290129258
"capturas/raw/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png","capturas/raw1/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png","capturas/raw2/img_[0.0, -1.884955592153876, -1.5707963267948966, 36.851023724694144, 33.26241905350362, 177.96647948011994].png",0,-1.88495559215388,-1.5707963267949,36.8510237246941,33.2624190535036,177.96647948012
"capturas/raw/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png","capturas/raw1/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png","capturas/raw2/img_[0.0, -1.884955592153876, -1.308996938995747, 20.00609670499078, 70.58494919578521, 44.33115830204766].png",0,-1.88495559215388,-1.30899693899575,20.0060967049908,70.5849491957852,44.3311583020477
"capturas/raw/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png","capturas/raw1/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png","capturas/raw2/img_[0.0, -1.884955592153876, 2.0, 163.31578765583865, 123.0301192348489, 115.68814884987835].png",0,-1.88495559215388,2,163.315787655839,123.030119234849,115.688148849878
"capturas/raw/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png","capturas/raw1/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png","capturas/raw2/img_[0.0, -1.884955592153876, 2.0943951023931953, 135.71953941985538, 88.89352204208635, 165.592053779474].png",0,-1.88495559215388,2.0943951023932,135.719539419855,88.8935220420863,165.592053779474
"capturas/raw/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png","capturas/raw1/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png","capturas/raw2/img_[0.0, -1.884955592153876, 1.832595714594046, 147.00054338489656, 143.1622264460194, 74.29613164755052].png",0,-1.88495559215388,1.83259571459405,147.000543384897,143.162226446019,74.2961316475505
"capturas/raw/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png","capturas/raw1/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png","capturas/raw2/img_[0.0, -1.884955592153876, 1.5707963267948966, 105.29882802659128, 133.2326962836365, 5.872179107493856].png",0,-1.88495559215388,1.5707963267949,105.298828026591,133.232696283637,5.87217910749386
"capturas/raw/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png","capturas/raw1/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png","capturas/raw2/img_[0.0, -1.884955592153876, 1.308996938995747, 20.67039800748381, 120.92200333028593, 27.460165453097222].png",0,-1.88495559215388,1.30899693899575,20.6703980074838,120.922003330286,27.4601654530972
"capturas/raw/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png","capturas/raw1/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png","capturas/raw2/img_[0.0, -1.6755160819145565, -2.0, 3.0596163981265767, 87.0210469553727, 113.30363283126889].png",0,-1.67551608191456,-2,3.05961639812658,87.0210469553727,113.303632831269
"capturas/raw/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png","capturas/raw1/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png","capturas/raw2/img_[0.0, -1.6755160819145565, -2.0943951023931953, 55.75982450234534, 135.78335054208083, 63.064833740471634].png",0,-1.67551608191456,-2.0943951023932,55.7598245023453,135.783350542081,63.0648337404716
"capturas/raw/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png","capturas/raw1/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png","capturas/raw2/img_[0.0, -1.6755160819145565, -1.832595714594046, 46.89927910717472, 28.05936507065989, 25.61179601651466].png",0,-1.67551608191456,-1.83259571459405,46.8992791071747,28.0593650706599,25.6117960165147
"capturas/raw/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png","capturas/raw1/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png","capturas/raw2/img_[0.0, -1.6755160819145565, -1.5707963267948966, 40.923291430819646, 86.54046416613356, 85.74052566927453].png",0,-1.67551608191456,-1.5707963267949,40.9232914308196,86.5404641661336,85.7405256692745
"capturas/raw/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png","capturas/raw1/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png","capturas/raw2/img_[0.0, -1.6755160819145565, -1.308996938995747, 118.04363842906328, 171.76814120840555, 84.57327268330458].png",0,-1.67551608191456,-1.30899693899575,118.043638429063,171.768141208406,84.5732726833046
"capturas/raw/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png","capturas/raw1/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png","capturas/raw2/img_[0.0, -1.6755160819145565, 2.0, 87.2274580756008, 168.17729375592342, 108.43075426083534].png",0,-1.67551608191456,2,87.2274580756008,168.177293755923,108.430754260835
"capturas/raw/img_[0.0, -1.6755160819145565, 2.0943951023931953, 19.543270543750435, 55.596595934577195, 8.407371807253325].png","capturas/raw1/img_[0.0, -1.6755160819145565, 2.0943951023931953, 19.543270543750435, 55.596595934577195, 8.407371807253325].png","capturas/raw2/img_[0.0, -1.6755160819145565, 2.0943951023931953, 19.543270543750435, 55.596595934577195, 8.407371807253325].png",0,-1.67551608191456,2.0943951023932,19.5432705437504,55.5965959345772,8.40737180725333
"capturas/raw/img_[0.0, -1.6755160819145565, 1.832595714594046, 22.979259407607476, 108.76434777640601, 48.3331426882566].png","capturas/raw1/img_[0.0, -1.6755160819145565, 1.832595714594046, 22.979259407607476, 108.76434777640601, 48.3331426882566].png","capturas/raw2/img_[0.0, -1.6755160819145565, 1.832595714594046, 22.979259407607476, 108.76434777640601, 48.3331426882566].png",0,-1.67551608191456,1.83259571459405,22.9792594076075,108.764347776406,48.3331426882566
"capturas/raw/img_[0.0, -1.6755160819145565, 1.5707963267948966, 77.51631093540665, 155.6287123611535, 1.821738472510901].png","capturas/raw1/img_[0.0, -1.6755160819145565, 1.5707963267948966, 77.51631093540665, 155.6287123611535, 1.821738472510901].png","capturas/raw2/img_[0.0, -1.6755160819145565, 1.5707963267948966, 77.51631093540665, 155.6287123611535, 1.821738472510901].png",0,-1.67551608191456,1.5707963267949,77.5163109354067,155.628712361154,1.8217384725109
"capturas/raw/img_[0.0, -1.6755160819145565, 1.308996938995747, 22.422142926225405, 121.5147254120541, 47.63755014211767].png","capturas/raw1/img_[0.0, -1.6755160819145565, 1.308996938995747, 22.422142926225405, 121.5147254120541, 47.63755014211767].png","capturas/raw2/img_[0.0, -1.6755160819145565, 1.308996938995747, 22.422142926225405, 121.5147254120541, 47.63755014211767].png",0,-1.67551608191456,1.30899693899575,22.4221429262254,121.514725412054,47.6375501421177
"capturas/raw/img_[0.0, -1.4660765716752369, -2.0, 115.93665914979539, 54.37170685167399, 35.20066217074528].png","capturas/raw1/img_[0.0, -1.4660765716752369, -2.0, 115.93665914979539, 54.37170685167399, 35.20066217074528].png","capturas/raw2/img_[0.0, -1.4660765716752369, -2.0, 115.93665914979539, 54.37170685167399, 35.20066217074528].png",0,-1.46607657167524,-2,115.936659149795,54.371706851674,35.2006621707453
"capturas/raw/img_[0.0, -1.4660765716752369, -2.0943951023931953, 31.848984549093583, 60.694666275867455, 135.59290267169476].png","capturas/raw1/img_[0.0, -1.4660765716752369, -2.0943951023931953, 31.848984549093583, 60.694666275867455, 135.59290267169476].png","capturas/raw2/img_[0.0, -1.4660765716752369, -2.0943951023931953, 31.848984549093583, 60.694666275867455, 135.59290267169476].png",0,-1.46607657167524,-2.0943951023932,31.8489845490936,60.6946662758675,135.592902671695
"capturas/raw/img_[0.0, -1.4660765716752369, -1.832595714594046, 66.53044734468028, 34.04812200377302, 73.25377016552018].png","capturas/raw1/img_[0.0, -1.4660765716752369, -1.832595714594046, 66.53044734468028, 34.04812200377302, 73.25377016552018].png","capturas/raw2/img_[0.0, -1.4660765716752369, -1.832595714594046, 66.53044734468028, 34.04812200377302, 73.25377016552018].png",0,-1.46607657167524,-1.83259571459405,66.5304473446803,34.048122003773,73.2537701655202
"capturas/raw/img_[0.0, -1.4660765716752369, -1.5707963267948966, 173.02470138713488, 126.04390190849091, 134.40480683366394].png","capturas/raw1/img_[0.0, -1.4660765716752369, -1.5707963267948966, 173.02470138713488, 126.04390190849091, 134.40480683366394].png","capturas/raw2/img_[0.0, -1.4660765716752369, -1.5707963267948966, 173.02470138713488, 126.04390190849091, 134.40480683366394].png",0,-1.46607657167524,-1.5707963267949,173.024701387135,126.043901908491,134.404806833664
"capturas/raw/img_[0.0, -1.4660765716752369, -1.308996938995747, 132.12560878126968, 43.39242541939577, 103.25570750845125].png","capturas/raw1/img_[0.0, -1.4660765716752369, -1.308996938995747, 132.12560878126968, 43.39242541939577, 103.25570750845125].png","capturas/raw2/img_[0.0, -1.4660765716752369, -1.308996938995747, 132.12560878126968, 43.39242541939577, 103.25570750845125].png",0,-1.46607657167524,-1.30899693899575,132.12560878127,43.3924254193958,103.255707508451
"capturas/raw/img_[0.0, -1.4660765716752369, 2.0, 93.3271360031397, 43.045577065622666, 170.48318555975138].png","capturas/raw1/img_[0.0, -1.4660765716752369, 2.0, 93.3271360031397, 43.045577065622666, 170.48318555975138].png","capturas/raw2/img_[0.0, -1.4660765716752369, 2.0, 93.3271360031397, 43.045577065622666, 170.48318555975138].png",0,-1.46607657167524,2,93.3271360031397,43.0455770656227,170.483185559751
"capturas/raw/img_[0.0, -1.4660765716752369, 2.0943951023931953, 34.643630577770416, 46.18389710758022, 54.0442139281697].png","capturas/raw1/img_[0.0, -1.4660765716752369, 2.0943951023931953, 34.643630577770416, 46.18389710758022, 54.0442139281697].png","capturas/raw2/img_[0.0, -1.4660765716752369, 2.0943951023931953, 34.643630577770416, 46.18389710758022, 54.0442139281697].png",0,-1.46607657167524,2.0943951023932,34.6436305777704,46.1838971075802,54.0442139281697
"capturas/raw/img_[0.0, -1.4660765716752369, 1.832595714594046, 45.63983777705832, 169.67898288787003, 69.39638282604561].png","capturas/raw1/img_[0.0, -1.4660765716752369, 1.832595714594046, 45.63983777705832, 169.67898288787003, 69.39638282604561].png","capturas/raw2/img_[0.0, -1.4660765716752369, 1.832595714594046, 45.63983777705832, 169.67898288787003, 69.39638282604561].png",0,-1.46607657167524,1.83259571459405,45.6398377770583,169.67898288787,69.3963828260456
"capturas/raw/img_[0.0, -1.4660765716752369, 1.5707963267948966, 81.11909019358254, 140.90162909598925, 66.4417600917752].png","capturas/raw1/img_[0.0, -1.4660765716752369, 1.5707963267948966, 81.11909019358254, 140.90162909598925, 66.4417600917752].png","capturas/raw2/img_[0.0, -1.4660765716752369, 1.5707963267948966, 81.11909019358254, 140.90162909598925, 66.4417600917752].png",0,-1.46607657167524,1.5707963267949,81.1190901935825,140.901629095989,66.4417600917752
"capturas/raw/img_[0.0, -1.4660765716752369, 1.308996938995747, 112.21599541867192, 41.720139546160844, 178.8744128781505].png","capturas/raw1/img_[0.0, -1.4660765716752369, 1.308996938995747, 112.21599541867192, 41.720139546160844, 178.8744128781505].png","capturas/raw2/img_[0.0, -1.4660765716752369, 1.308996938995747, 112.21599541867192, 41.720139546160844, 178.8744128781505].png",0,-1.46607657167524,1.30899693899575,112.215995418672,41.7201395461608,178.874412878151
"capturas/raw/img_[0.0, -1.2566370614359172, -2.0, 124.44835658077412, 135.99697929720944, 60.47970507710529].png","capturas/raw1/img_[0.0, -1.2566370614359172, -2.0, 124.44835658077412, 135.99697929720944, 60.47970507710529].png","capturas/raw2/img_[0.0, -1.2566370614359172, -2.0, 124.44835658077412, 135.99697929720944, 60.47970507710529].png",0,-1.25663706143592,-2,124.448356580774,135.996979297209,60.4797050771053
