ruta_imagen1,ruta_imagen2,ruta_imagen3,ruta_imagen1d,ruta_imagen2d,ruta_imagen3d,px,py,pz,qw,qx,qy,qz,t1,t2,t3,t4,t5,t6
"capturas/raw/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/raw1/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/raw2/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/deep/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/deep1/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","capturas/deep2/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png",0.915658208737367,0.030819599358685,0.034550723506852,0.055071530086859,0.959830959038806,0.183303939047645,-0.205161698604187,0,3.97935069454708,4.28318530717959,1.42459064366668,5.177948525409,3.92070139764608
"capturas/raw/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/raw1/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/raw2/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/deep/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/deep1/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","capturas/deep2/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png",0.781634548638364,-0.055247854103419,0.142557606792554,-0.099158109086594,0.737004749683662,-0.513092706655137,0.428634509487279,0,3.97935069454708,4.18879020478639,0.245460306131605,3.85035161419517,0.05474519023926
"capturas/raw/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/deep/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/deep1/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","capturas/deep2/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png",0.799804910072931,0.037567935568803,0.143734167211751,0.054179009565413,0.766069733891579,0.336475110163376,0.544964492401423,0,3.97935069454708,4.45058959258554,2.84505381931922,4.06257672183643,0.982702860578847
"capturas/raw/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/deep/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/deep1/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","capturas/deep2/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png",0.905115448972821,0.071745618762325,-0.03030032558291,-0.466575075584008,-0.582886578402216,-0.256451756388417,0.613826874784439,0,3.97935069454708,4.71238898038469,4.87133078554575,6.15022364897451,4.78018283959243
"capturas/raw/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/raw1/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/raw2/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/deep/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/deep1/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","capturas/deep2/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png",0.804837719745662,0.042019264499474,0.148868850092705,0.200912221905764,0.759065730142612,0.449142068469598,0.426292034575833,0,3.97935069454708,4.97418836818384,4.52096162828477,1.32076033092083,4.9077840840061
"capturas/raw/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/raw1/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/raw2/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/deep/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/deep1/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","capturas/deep2/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png",0.948901573216713,-0.081254215147588,0.097639180905842,0.096686978359232,0.746212133377958,-0.658122099512773,0.026351135614566,0,3.97935069454708,2,0.156486969401847,2.86046992624172,1.66594243755267
"capturas/raw/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/raw1/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/raw2/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/deep/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/deep1/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","capturas/deep2/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png",0.797787776538139,-0.081746278071166,0.206718597801852,-0.183278998731661,0.708822529683902,-0.672242255644833,-0.109862549405978,0,3.97935069454708,2.0943951023932,3.51063933983511,0.366902394197631,1.93512829552832
"capturas/raw/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/deep/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/deep1/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","capturas/deep2/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png",0.935154927201498,-0.07536837074787,0.096464159197344,-0.038600006414458,0.824353291242644,-0.54930801332881,-0.131196025911537,0,3.97935069454708,1.83259571459405,1.98670539489706,4.83426298117702,1.02872550195462
"capturas/raw/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/deep/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/deep1/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","capturas/deep2/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png",0.849611540721743,0.013770079766169,-0.026064438137005,-0.528276401542187,-0.495709441218613,0.416565000438377,0.549244748604977,0,3.97935069454708,1.5707963267949,3.6172028548383,5.38400343561938,4.83644411776919
"capturas/raw/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/raw1/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/raw2/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/deep/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/deep1/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","capturas/deep2/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png",0.919775254056476,-0.056004994549869,0.092655299372798,0.576420590561893,0.724965922231555,-0.340387721143798,0.162172481246854,0,3.97935069454708,1.30899693899575,3.2024853885226,3.13512336970297,2.21405812310019
"capturas/raw/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/raw1/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/raw2/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/deep/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/deep1/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","capturas/deep2/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png",0.914753586364899,0.076671600193961,-0.028393273967704,-0.161805300917014,0.717907671879945,0.670326399995774,-0.095342208490137,0,4.18879020478639,4.28318530717959,4.75217754673113,1.6077450981053,1.4589683303164
"capturas/raw/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/raw1/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/raw2/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/deep/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/deep1/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","capturas/deep2/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png",0.764037105182336,-0.07536672554173,0.154776692201197,-0.072023308629673,0.736015395597321,-0.64192462544319,0.202550625048095,0,4.18879020478639,4.18879020478639,1.03854399367919,4.83711418567098,5.47724091620414
"capturas/raw/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/deep/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/deep1/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","capturas/deep2/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png",0.908308555642616,-0.080647285330219,-0.048350486121646,0.700663504352128,-0.092576630149814,-0.049041263888695,0.705758581708575,0,4.18879020478639,4.45058959258554,3.63951991614426,5.21862289186925,3.83348532344361
"capturas/raw/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/deep/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/deep1/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","capturas/deep2/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png",0.895813761193859,0.03637238425689,-0.013595110281276,-0.436851340916377,0.737554301103549,0.448973155153142,-0.252185774410555,0,4.18879020478639,4.71238898038469,3.82035381735518,3.13095142772539,1.31216621824862
"capturas/raw/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/raw1/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/raw2/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/deep/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/deep1/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png","capturas/deep2/img_[0.0, -2.0943951023931957, -1.308996938995747, 117.78494877522313, 96.28666917287187, 126.56201926287147].png",0.891194785019864,0.009012100717311,0.114319652599153,0.295148242806729,0.930353262956241,0.117031300317705,0.18339573501236,0,4.18879020478639,4.97418836818384,4.68761324599047,2.03888956517804,0.898313119279273
"capturas/raw/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/raw1/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/raw2/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/deep/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/deep1/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png","capturas/deep2/img_[0.0, -2.0943951023931957, 2.0, 145.67566884906262, 147.73845144127657, 26.450630516965756].png",0.816663763716176,0.069594546491384,0.187924698583385,0.599319322266048,-0.540068295601365,-0.148105906412569,-0.572020302550979,0,4.18879020478639,2,1.1624067839325,3.22518937614645,1.31788928824745
"capturas/raw/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/raw1/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/raw2/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/deep/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/deep1/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png","capturas/deep2/img_[0.0, -2.0943951023931957, 2.0943951023931953, 67.89665066153067, 21.849692085742827, 144.256243883191].png",0.934205385968816,-0.076387847319799,0.110761672347302,0.27509986834609,0.772483282895783,-0.561796721680574,0.109426155883667,0,4.18879020478639,2.0943951023932,5.06479758973484,3.00013616420398,6.02616712524009
"capturas/raw/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/raw1/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/raw2/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/deep/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/deep1/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png","capturas/deep2/img_[0.0, -2.0943951023931957, 1.832595714594046, 5.73658464511251, 164.3119421517895, 97.63008270951896].png",0.912492033908319,0.079234170829906,-0.014092992908031,-0.444543897256985,-0.561497847525907,-0.41033875641694,0.564555573542184,0,4.18879020478639,1.83259571459405,5.73658464511252,0.949124165120665,3.38230310182522
"capturas/raw/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/raw1/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/raw2/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/deep/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/deep1/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png","capturas/deep2/img_[0.0, -2.0943951023931957, 1.5707963267948966, 58.054811061743216, 75.4911563242353, 68.98729215849345].png",0.912627565626758,-0.020618572572884,0.044097796380469,-0.208383011324178,0.930035246038033,-0.068638238893785,-0.294787642006924,0,4.18879020478639,1.5707963267949,1.50614329712694,0.092932638080185,6.15543908669764
